Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM (20K),Chip Globals,PLL
BVF_RISCV_SUBSYSTEM_inst_0/APB_ARBITER_0/Primitives,34,0,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/FIC3_INITIATOR_inst_0/FIC3_INITIATOR_0/Primitives,2,0,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/Primitives,4,0,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/addr_mux_0/Primitives,452,0,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/apb_target_0/Primitives,6,37,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/common_mailbox_ram/Primitives,0,0,72,72,0,0,2,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h0_h1.CH_H0_H1/Primitives,25,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h0_h2.CH_H0_H2/Primitives,24,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h0_h3.CH_H0_H3/Primitives,24,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h0_h4.CH_H0_H4/Primitives,24,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h1_h2.CH_H1_H2/Primitives,22,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h1_h3.CH_H1_H3/Primitives,22,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h1_h4.CH_H1_H4/Primitives,24,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h2_h3.CH_H2_H3/Primitives,23,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h2_h4.CH_H2_H4/Primitives,24,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_h3_h4.CH_H3_H4/Primitives,22,11,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_intr_module_h0.h0_irq_module/Primitives,26,32,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_intr_module_h1.h1_irq_module/Primitives,26,32,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_intr_module_h2.h2_irq_module/Primitives,26,32,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_intr_module_h3.h3_irq_module/Primitives,24,32,0,0,0,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/gen_intr_module_h4.h4_irq_module/Primitives,29,32,0,0,0,0,0,0,0
